23717,452966,2.0,1314806400
20671,452966,5.0,1330272000
65077,452966,5.0,1336752000
33241,452966,3.0,1361203200
43,452966,2.0,1333209600
35692,452966,2.0,1343059200
676,452966,2.0,1306771200
122,452966,3.0,1298217600
43,452966,3.0,1267200000
6305,452966,5.0,1330617600
39443,452966,5.0,1325865600
33186,452966,4.0,1262534400
18414,452966,3.0,1337702400
604,452966,4.0,1301587200
35055,452966,4.0,1265644800
43,452966,1.0,1306684800
36259,452966,4.0,1288886400
167,452966,5.0,1263484800
230,452966,3.0,1344441600
87085,452966,3.0,1388073600
76401,452966,3.0,1364745600
6583,452966,5.0,1260460800
454,452966,3.0,1346083200
3174,452966,5.0,1291996800
18414,452966,3.0,1267027200
3168,452966,5.0,1333296000
1702,452966,2.0,1325260800
31559,452966,3.0,1288368000
24249,452966,3.0,1275321600
8906,452966,3.0,1296576000
2424,452966,3.0,1285344000
3420,452966,3.0,1333382400
1138,452966,3.0,1353340800
49545,452966,4.0,1384358400
1147,452966,4.0,1325433600
5524,452966,4.0,1307721600
3090,452966,3.0,1263225600
14922,452966,5.0,1335628800
5249,452966,4.0,1342108800
40970,452966,5.0,1356537600
1138,452966,4.0,1348675200
6165,452966,1.0,1335456000
2381,452966,4.0,1286553600
1733,452966,5.0,1372780800
604,452966,5.0,1297958400
43,452966,5.0,1351180800
604,452966,5.0,1350748800
6383,452966,5.0,1348761600
1279,452966,3.0,1317052800
1779,452966,4.0,1358784000
32414,452966,5.0,1300377600
604,452966,5.0,1325001600
5986,452966,3.0,1361635200
4097,452966,4.0,1379692800
14161,452966,5.0,1348329600
667,452966,2.0,1316534400
604,452966,3.0,1370275200
12014,452966,4.0,1304870400
10913,452966,5.0,1349625600
8119,452966,3.0,1305561600
7360,452966,4.0,1281715200
604,452966,3.0,1373644800
2726,452966,5.0,1309795200
4717,452966,1.0,1331827200
317,452966,3.0,1376150400
5442,452966,5.0,1363017600
25136,452966,5.0,1359475200
10980,452966,3.0,1293724800
2980,452966,3.0,1302969600
27511,452966,3.0,1311091200
117,452966,3.0,1387382400
10272,452966,3.0,1362931200
3841,452966,5.0,1350576000
4014,452966,2.0,1315497600
332,452966,5.0,1257782400
1374,452966,2.0,1362240000
3945,452966,4.0,1296921600
998,452966,4.0,1257955200
192,452966,3.0,1282147200
8459,452966,2.0,1360944000
34,452966,4.0,1275667200
2827,452966,1.0,1331136000
4949,452966,4.0,1345651200
11260,452966,5.0,1260460800
20480,452966,4.0,1291824000
9252,452966,4.0,1299686400
51993,452966,4.0,1385827200
644,452966,1.0,1349798400
9216,452966,1.0,1305043200
8960,452966,1.0,1352649600
2624,452966,5.0,1327507200
135,452966,4.0,1383408000
