productId,amazonId,imageUrl
1347,B00186LVO4,https://images-cn-4.ssl-images-amazon.com/images/I/31QUM6HycPL._SY300_QL70_.jpg
2263,B005DVVOUG,https://images-cn-4.ssl-images-amazon.com/images/I/41mv2FmlLjL._SX300_QL70_.jpg
3982,B009EJN4T2,https://images-cn-4.ssl-images-amazon.com/images/I/31QPvUDNavL._SY300_QL70_.jpg
5917,B001AVZHVU,"https://images-cn-4.ssl-images-amazon.com/images/I/51%2BAfFkgxKL._SX258_BO1,204,203,200_QL70_.jpg"
6425,B002C1AUTG,https://images-cn-4.ssl-images-amazon.com/images/I/41-QAxhZ6aL._SY300_QL70_.jpg
6797,B002TKLK0S,https://images-cn-4.ssl-images-amazon.com/images/I/415UjOLnBML._SY300_QL70_.jpg
7446,B003WEAQ1O,https://images-cn-4.ssl-images-amazon.com/images/I/51M4iDmm14L._SY300_QL70_.jpg
8006,B004OA7J1K,https://images-cn-4.ssl-images-amazon.com/images/I/51DQJ5R9I6L._SY300_QL70_.jpg
8195,B004W5MVL0,https://images-cn-4.ssl-images-amazon.com/images/I/41zUS3RjvRL._SY300_QL70_.jpg
10948,B0010MG6VE,https://images-cn-4.ssl-images-amazon.com/images/I/41NhpkJFQsL._SY300_QL70_.jpg
12019,B0011F9UUO,"https://images-cn-4.ssl-images-amazon.com/images/I/41SPlULRxyL._SY344_BO1,204,203,200_QL70_.jpg"
12510,B001HL0R8Q,"https://images-cn-4.ssl-images-amazon.com/images/I/510kdlR%2BN-L._SY344_BO1,204,203,200_QL70_.jpg"
13316,B003TJ99M4,https://images-cn-4.ssl-images-amazon.com/images/I/41nIbzEKQCL._SY300_QL70_.jpg
13329,B003U6GP32,https://images-cn-4.ssl-images-amazon.com/images/I/319CJAtgRhL._SX300_QL70_.jpg
13543,B0047Y19CI,"https://images-cn-4.ssl-images-amazon.com/images/I/51RCZJf9vSL._SY344_BO1,204,203,200_QL70_.jpg"
14103,B007WTAJTO,https://images-cn-4.ssl-images-amazon.com/images/I/41mU1iHKkkL._SX300_QL70_.jpg
15010,B00BWL5KRY,https://images-cn-4.ssl-images-amazon.com/images/I/31OIQpMzbmL._SY300_QL70_.jpg
15388,B00DGMU4VY,https://images-cn-4.ssl-images-amazon.com/images/I/413AEYrldgL._SY300_QL70_.jpg
17453,B003YXYPMY,https://images-cn-4.ssl-images-amazon.com/images/I/41vphvmJHzL._SY300_QL70_.jpg
17952,B004QF0UZA,https://images-cn-4.ssl-images-amazon.com/images/I/41WLD7vn4LL._SY300_QL70_.jpg
21604,184317569X,"https://images-cn-4.ssl-images-amazon.com/images/I/41pbPw2udfL._SY344_BO1,204,203,200_QL70_.jpg"
21634,B0010LDOUG,https://images-cn-4.ssl-images-amazon.com/images/I/41YGWcdfFRL._SY300_QL70_.jpg
21641,B0010MAVBU,https://images-cn-4.ssl-images-amazon.com/images/I/51CgURHFLyL._SY300_QL70_.jpg
21643,B0010MBKHO,https://images-cn-4.ssl-images-amazon.com/images/I/41%2B4D64-AEL._SY300_QL70_.jpg
24064,B003TJ99LU,https://images-cn-4.ssl-images-amazon.com/images/I/41UpBUTjZ2L._SY300_QL70_.jpg
24366,B0044KME2E,"https://images-cn-4.ssl-images-amazon.com/images/I/51K9lVPu0fL._SX258_BO1,204,203,200_QL70_.jpg"
26554,0140373373,"https://images-cn-4.ssl-images-amazon.com/images/I/51GXDd69U5L._SY344_BO1,204,203,200_QL70_.jpg"
26744,B0010LD9G0,https://images-cn-4.ssl-images-amazon.com/images/I/31z3mCQtPOL._SX300_QL70_.jpg
26752,B0010MA3Q8,https://images-cn-4.ssl-images-amazon.com/images/I/41f0KOOv%2BvL._SY300_QL70_.jpg
27352,B0011C02YK,"https://images-cn-4.ssl-images-amazon.com/images/I/41HyXVKRweL._SY344_BO1,204,203,200_QL70_.jpg"
28787,B005CPGHAA,https://images-cn-4.ssl-images-amazon.com/images/I/31%2B6U1krF5L._SY300_QL70_.jpg
29738,B007XZM6VG,https://images-cn-4.ssl-images-amazon.com/images/I/51zb5ypT2iL._SY300_QL70_.jpg
32512,B001GNBOTG,https://images-cn-4.ssl-images-amazon.com/images/I/41KDlN3n7-L._SY300_QL70_.jpg
33736,B003M6AJZA,"https://images-cn-4.ssl-images-amazon.com/images/I/51rVxKSZegL._SY344_BO1,204,203,200_QL70_.jpg"
33864,B003STDEG2,https://images-cn-4.ssl-images-amazon.com/images/I/41Aej5QYV0L._SY300_QL70_.jpg
36768,B00E18ZU16,https://images-cn-4.ssl-images-amazon.com/images/I/41OdVV9y7iL._SY300_QL70_.jpg
39195,B001TK34P8,https://images-cn-4.ssl-images-amazon.com/images/I/41TFl0syNOL._SX300_QL70_.jpg
40890,B009EJMVX2,https://images-cn-4.ssl-images-amazon.com/images/I/31iOos6K-8L._SY300_QL70_.jpg
42768,B00116K2W8,"https://images-cn-4.ssl-images-amazon.com/images/I/513LXSy0IlL._SY344_BO1,204,203,200_QL70_.jpg"
43564,B003GISSTI,"https://images-cn-4.ssl-images-amazon.com/images/I/51TSxpkOgeL._SY344_BO1,204,203,200_QL70_.jpg"
43712,B003STDEFS,https://images-cn-4.ssl-images-amazon.com/images/I/41AOeS3tHHL._SY300_QL70_.jpg
44692,B0058FCJAQ,https://images-cn-4.ssl-images-amazon.com/images/I/51aFtxPAAKL._SY300_QL70_.jpg
45197,B005WOAKW2,"https://images-cn-4.ssl-images-amazon.com/images/I/51Yb6ENRaHL._SY344_BO1,204,203,200_QL70_.jpg"
46607,B0093FAU7Q,https://images-cn-4.ssl-images-amazon.com/images/I/41PMBC60wfL._SY300_QL70_.jpg
46771,B009ZP2S60,https://images-cn-4.ssl-images-amazon.com/images/I/51Ewzgvno4L._SY300_QL70_.jpg
47095,B00AZG2II6,https://images-cn-4.ssl-images-amazon.com/images/I/41sIACmvyZL._SY300_QL70_.jpg
48907,B001CC1VVC,https://images-cn-4.ssl-images-amazon.com/images/I/41CztXe4GrL._SY300_QL70_.jpg
49616,B002CU9V7Y,"https://images-cn-4.ssl-images-amazon.com/images/I/41VMhY7SgNL._SY344_BO1,204,203,200_QL70_.jpg"
49999,B0032UWZ1W,"https://images-cn-4.ssl-images-amazon.com/images/I/514icA1W%2BzL._SX258_BO1,204,203,200_QL70_.jpg"
53093,B0010L7X3A,https://images-cn-4.ssl-images-amazon.com/images/I/41yawUf8aFL._SY300_QL70_.jpg
56584,B008OOZD5G,"https://images-cn-4.ssl-images-amazon.com/images/I/41GM3inVR9L._SY344_BO1,204,203,200_QL70_.jpg"
56918,B009NBV20O,"https://images-cn-4.ssl-images-amazon.com/images/I/51eMrt3CHGL._SY344_BO1,204,203,200_QL70_.jpg"
57272,B00AQT8SPE,"https://images-cn-4.ssl-images-amazon.com/images/I/51gKCDBk5WL._SY344_BO1,204,203,200_QL70_.jpg"
58775,B001CZNPTK,https://images-cn-4.ssl-images-amazon.com/images/I/417EN5XI%2BEL._SY300_QL70_.jpg
59199,B002AO8LRS,"https://images-cn-4.ssl-images-amazon.com/images/I/41ONMhTf0LL._SY344_BO1,204,203,200_QL70_.jpg"
59605,B002TKLJZ4,https://images-cn-4.ssl-images-amazon.com/images/I/31fnQZOoebL._SX300_QL70_.jpg
